link,edition,track,location,hashtag,date,session,day,hour,categories
https://ona15.journalists.org/sessions/360video/,2015,"Audio, Video + Photo Track",Westwood Room,#ONA15_360,Saturday - 10:00 AM - 11:00 AM,360 Video for Newsrooms of Any Size,Saturday,"NA","360, video"
https://ona17.journalists.org/sessions/shoestring360/,2017,"Audio, Video, Photo + Immersive Track",Washington 5,#ONA17VR,Thursday – 2:00 PM – 3:00 PM,Journalism 360: Creating Immersive Content on a Shoestring Budget,Thursday,"NA","360, video, immersive"
https://ona17.journalists.org/sessions/sponsored6/,2017,"Audio, Video, Photo + Immersive Track",Virginia A+B,#ONA17360,Friday – 3:30 PM – 4:30 PM,When Investigative Gets Immersive: Exploring Scientific Storytelling with Journalism 360 [Sponsored - Knight Foundation],Friday,"NA","360, video, storytelling, immersive"
https://ona16.journalists.org/sessions/vrstorytelling/,2016,"Audio, Photo + Video Track",Centennial Ballroom A,#ONA16VR,Thursday - 11:30 AM - 12:30 PM,Hype or Here: When Should I Use 360/VR in My Storytelling?,Thursday,"NA","360, VR, storytelling"
https://ona12.journalists.org/sessions/unconference-session/,2012,Unconference,Garden Room A-B,#ONAuncon,Saturday - 10:15 am,Unconference Session – Measuring the Impact of Headline Testing,Saturday,10:15:00,ab testing
https://ona17.journalists.org/sessions/soyouwanttoteach/,2017,Teaching + Training Track,Washington 5,#ONA17academia,Friday – 2:00 PM – 3:00 PM,So You Want to Teach in Academia?,Friday,"NA",academia
https://ona2010.sched.com/event/2abn/rewiring-the-ivory-tower,2010,Strategies,Auditorium,#academia,"Saturday October 30, 2010 10:15am - 11:15am",Rewiring the Ivory Tower,Saturday,"NA",academia
https://ona14.journalists.org/sessions/agile-workflow/,2014,Business + Leadership Track,Chicago Ballroom VIII,#agileed,Saturday - 2:30 PM - 3:30 PM,Agile Workflow for Classrooms,Saturday,"NA",academia
https://ona13.journalists.org/sessions/bringing-tech-into-the-classrom/,2013,Duo,Ballroom C,#ona13edtech,Friday - 10:30 AM - 11:30 AM,Bringing Tech into the Classroom,Friday,"NA",academia
https://ona13.journalists.org/sessions/hack-the-curriculum/,2013,Interactive,International 4,#hackcurriculum,Friday - 2:45 PM - 3:45 PM,Hack the Curriculum,Friday,"NA",academia
https://ona13.journalists.org/sessions/unconference-9/,2013,NA,508,#onauncon,Saturday - 4:15 PM - 5:00 PM,[Unconference Session] Our Journalism Class #throughglass,Saturday,"NA",academia
https://ona17.journalists.org/sessions/newsaccessibility/,2017,Developer Tools + Tech Track,Maryland C,#ONA17access,Thursday – 11:00 AM – 12:00 PM,Ensuring Accessibility For News,Thursday,"NA","accesibility, programming"
